Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
Lycée Jean-Baptiste De Baudre,Agen,47.0,True,BTS,Support à l'action managériale
Lycée Val De Garonne,Marmande,47.0,True,BTS,Conception des processus de réalisation de produits (1ère année commune)
Lycée Emile Peytavin,Mende,48.0,True,BTS,Service et prestation des secteurs sanitaire et social
INSA Centre Val de Loire campus de Blois,Blois,41.0,True,Ecole d'Ingénieur,Bac Général
Lycée Emile Peytavin,Mende,48.0,True,BTS,Management Commercial Opérationnel
Lycée polyvalent Notre-Dame,Mende,48.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée polyvalent Notre-Dame,Mende,48.0,True,BTS,Diététique
Lycée polyvalent Notre-Dame,Mende,48.0,True,BTS,Economie sociale familiale
Lycée polyvalent privé Sacre-Coeur,Saint-Chély-d'Apcher,48.0,True,Autre formation,Hôtellerie restauration
Lycée Polyvalent Chevrollier,Angers,49.0,True,CPGE,PTSI
Lycée Polyvalent Chevrollier,Angers,49.0,True,BTS,Conception et Réalisation de Systèmes Automatiques
Lycée polyvalent Sadi Carnot - Jean Bertin,Saumur,49.0,True,BTS,Management en hôtellerie restauration
I.U.T. Angers-Cholet - Site d'Angers,Angers,49.0,True,BUT,Génie biologique parcours sciences de l'aliment et biotechnologie
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,True,Autre formation,Année Préparatoire aux formations de Licence Mathématiques et Informatique (L0)
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Anglais/Allemand - Anglais/Espagnol
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Biologie
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Information et communication
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Psychologie
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Sciences de l'éducation et de la formation
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,False,Licence,Théologie catholique
Lycée Saint Benoît,Angers,49.0,True,CPGE,MPSI
Lycée Technologique La Providence,Cholet,49.0,True,BTS,Gestion de la PME
LGT Sainte-Marie / ESUPEC,Cholet,49.0,True,BTS,Négociation et digitalisation de la Relation Client
LGT Sainte-Marie / ESUPEC,Cholet,49.0,True,BTS,Services informatiques aux organisations
Université Angers,Angers,49.0,False,Licence,Anglais-Allemand
Lycée général et technologique Henri Bergson,Angers,49.0,True,CPGE,PCSI
Lycée général et technologique Henri Bergson,Angers,49.0,True,CPGE,Lettres
Lycée général et technologique Henri Bergson,Angers,49.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
LGT privé Sacré-Coeur La Salle,Angers,49.0,True,BTS,Management Commercial Opérationnel
LGT privé Sacré-Coeur La Salle,Angers,49.0,True,BTS,Négociation et digitalisation de la Relation Client
